Points,Wins,Last 10 Rank,Post Season Finish
96,43,1.0,5
96,44,19.0,4
97,45,6.0,5
99,46,16.5,5
76,34,9.0,3
89,39,9.0,5
100,43,8.5,1
100,45,18.0,3
70,32,13.0,5
66,28,19.0,5
76,32,25.0,5
75,34,11.0,5
92,41,18.0,5
96,46,11.0,4
88,41,10.0,5
70,31,29.5,5
104,47,13.0,5
97,44,9.5,5
78,36,12.5,5
107,50,19.0,5
102,46,14.5,4
95,44,25.5,5
76,34,10.5,5
87,40,10.0,3
98,44,9.5,4
92,41,19.5,5
75,33,20.0,5
81,36,10.0,5
96,43,10.5,3
108,50,1.5,5
88,40,17.5,2
112,52,7.5,4
55,24,5,5
111,52,8.0,3
98,44,11.5,5
105,48,3.5,3
96,46,6.5,5
95,44,7.0,5
98,44,4.5,1
102,46,12.0,5
107,50,12.5,5
105,49,13.5,5
104,48,8.0,3
83,38,11.5,5
94,42,10.0,5
96,43,15.0,5
103,46,5,5
104,47,8.5,5
98,44,13.5,5
98,45,13.0,5
99,44,15.5,5
90,44,9.5,5
79,34,15.5,5
92,40,13.5,5
100,46,10.5,5
104,48,11.0,3
102,48,16.5,5
104,46,13.0,5
94,42,21.0,5
66,29,17.5,5
102,46,6.0,4
98,45,15.5,4
75,34,22.0,5
98,43,9.5,5
102,47,13.0,5
73,34,10.5,5
76,34,24.5,4
96,42,3.5,5
92,40,13.5,5
72,33,12.5,5
84,38,25.5,5
96,42,18.0,4
89,38,1.5,4
97,43,14.0,5
94,42,21.0,5
99,43,4,3
107,48,14.5,1
98,46,7.0,5
91,41,14.5,5
100,44,17.5,5
79,36,13.0,4
100,46,19.5,5
92,42,21.5,5
88,38,4.5,5
80,36,14.5,4
75,34,11.0,5
96,44,14.5,5
97,46,16.0,5
98,43,9.5,5
87,40,26.5,5
74,34,3.5,5
96,44,15.5,5
102,46,2.0,4
96,43,18.0,4
104,47,21,2
60,28,11.5,5
104,49,11.5,4
94,42,15.0,5
92,41,18.5,4
80,34,16.5,4
98,45,5.0,5
101,46,10.5,5
93,42,11.0,5
96,44,18.0,5
104,48,12.0,5
86,38,18.0,5
80,37,2.5,5
79,36,7.0,5
56,25,15.5,5
90,42,15.0,5
100,46,24.0,4
89,41,5.5,3
104,48,7.5,5
103,46,16.0,5
107,48,7.5,4
94,44,13.0,5
100,46,13.0,5
82,38,23.0,5
80,37,14.5,5
109,51,9.5,5
80,37,14.5,5
77,35,16.0,4
90,39,14.0,4
114,52,10.5,5
105,47,5.5,5
108,50,3.5,5
97,44,4.5,5
80,34,14.5,5
70,31,21.0,4
102,46,11.0,5
64,27,17.5,5
98,44,18.5,5
72,32,12.0,4
97,44,11.0,5
84,38,3.5,5
96,46,11.0,5
84,38,14.5,4
96,45,9.5,4
92,39,14.0,4
100,46,7.0,5
106,49,17.5,5
88,40,27.5,5
94,42,13.0,4
106,46,13.0,3
82,36,17.0,4
82,38,23.0,4
70,30,22.0,5
56,26,12.0,5
88,40,16.0,5
93,41,10.5,4
96,46,15.0,5
102,47,6.0,4
82,38,10.0,3
78,36,16.0,5
84,40,4.0,5
96,45,10.5,5
98,46,6.0,5
102,46,15.0,4
104,48,19.0,4
95,42,11.5,4
109,50,7.5,2
100,46,14.5,5
104,48,15.0,5
96,44,23.0,5
102,46,13.0,5
97,46,11.0,3
64,28,23.5,5
75,34,23.5,5
71,32,21.5,5
104,46,5.0,5
102,48,8.0,3
106,48,14.5,5
98,44,17.5,5
104,48,11.0,5
101,47,14.5,4
102,46,15.0,5
92,40,10.5,4
100,44,2.5,5
90,38,17.0,5
96,40,26.0,5
95,42,9.5,4
86,36,19.0,4
102,46,8.0,5
108,50,2.5,4
89,38,17.0,5
104,47,5.0,5
92,40,12.0,5
109,50,10.0,5
106,50,18.0,5
93,42,23.0,5
81,36,17.5,5
96,44,19.5,5
102,46,19.5,5
86,38,17.5,5
96,44,11.0,5
73,30,26,5
100,44,12.0,5
82,39,12.0,5
116,53,16.5,5
96,44,21.0,4
84,40,10.5,5
94,42,15.5,4
89,40,12.5,5
99,45,18.5,1
108,48,4.5,3
63,28,12.5,5
90,41,20.0,5
86,36,16.0,3
100,46,18.0,4
99,44,3.5,4
92,40,23.0,5
91,42,22.0,5
89,38,11.5,5
93,40,16.0,5
109,50,7.5,5
76,35,20.0,5
97,45,6,5
84,38,26.0,5
78,36,11.5,5
96,44,12.5,5
84,37,17.5,5
98,44,11.0,5
86,40,13.0,5
100,46,15.5,5
86,38,17.5,5
80,34,19.0,5
101,46,8.0,5
87,39,16.5,5
94,44,24.0,5
109,48,2.0,4
82,36,23.5,5
77,34,22.0,5
78,36,10.5,5
104,46,12.5,2
82,38,4.5,4
94,43,12.5,5
106,49,7.5,5
106,47,3.5,5
82,36,22.0,5
94,43,20.5,5
90,40,14.5,3
90,39,4.5,5
96,43,3.0,5
109,50,19.5,4
90,43,5.0,4
102,48,20.5,5
104,48,6.5,5
100,46,21.0,5
83,39,10.5,5
98,46,3.5,5
101,46,9.5,2
99,46,20.0,5
100,46,10.5,1
92,41,20.0,5
93,42,16.5,4
74,33,22.5,5
86,38,17.0,5
98,45,13.0,5
86,40,9.0,5
86,38,27.0,5
106,49,9.5,5
108,50,6.5,5
98,44,12.0,5
98,44,5.5,4
106,50,13.0,5
94,42,16.5,5
62,28,23.5,5
78,35,11.0,5
104,46,25.5,3
108,50,6.0,5
95,42,16.0,5
97,42,12.5,3
104,47,15.0,5
102,45,19.0,5
97,43,4.5,5
106,48,13.5,5
108,50,19.0,4
102,48,5.0,4
116,55,7.5,5
79,35,10.5,5
96,42,11.0,5
100,47,13.5,5
96,42,7.5,5
100,46,8.0,3
100,45,14.0,2
98,44,9.0,5
82,36,16.0,4
94,42,11.5,3
86,38,24.5,5
94,44,20.5,5
100,46,14.0,5
64,26,27.0,3
101,45,12.0,3
98,44,8.5,3
86,40,19.0,5
80,36,21.0,5
102,46,16.0,4
86,40,13.0,5
101,46,17.0,5
112,52,19.5,4
82,36,4.5,4
100,46,15.0,4
98,44,6.5,5
104,47,12.0,5
94,42,16.5,3
92,42,8.0,5
110,51,9.0,5
114,52,13.5,5
100,43,22,5
92,41,21.5,5
57,26,16.5,5
96,44,10.0,5
98,42,5.5,5
84,38,18.5,5
82,36,22.5,5
88,39,16.5,4
100,44,10.0,5
108,49,4.0,4
95,44,21.5,5
96,44,16.5,2
98,44,3.0,5
90,38,24.0,5
95,44,3.0,3
101,45,13.5,5
96,44,21.5,4
87,37,15.0,5
102,46,2.5,5
108,50,11.5,4
108,50,11.0,4
86,38,16.5,5
112,50,10.0,5
85,38,16.5,5
66,32,4.5,5
80,38,13.0,5
96,44,15.5,5
92,40,8.5,5
86,38,17.0,5
83,38,15.0,5
88,41,3.0,5
106,48,19.0,5
81,38,12.0,4
95,42,18.0,5
88,42,14.0,5
96,44,8.5,5
74,34,16.5,4
103,46,16.5,4
88,38,12.5,4
114,54,12.5,5
104,46,18.0,5
73,32,27.0,5
104,48,14.5,4
96,41,10.5,5
71,31,11.5,5
102,46,6.5,5
113,52,14.5,3
81,36,22.5,4
102,45,10.0,3
74,32,8.5,5
70,32,19.5,5
84,39,15.0,5
92,40,9.5,4
96,42,8.5,4
100,45,20.0,5
120,56,12.0,5
101,45,13.5,5
99,44,18.5,5
93,42,21.0,5
88,41,12.5,5
72,33,23.5,2
91,42,19.5,4
96,44,18.5,5
81,34,19.5,5
97,42,17.5,5
106,49,15.0,5
78,36,13.0,3
68,30,28.5,5
92,40,14.0,5
90,41,13.5,5
88,40,18.5,4
73,32,4.5,5
100,44,6.5,1
101,45,16.0,4
70,32,12.5,4
98,46,11.0,5
82,37,19.5,5
91,42,15.5,5
100,46,14.5,5
83,38,23.0,2
69,30,13.5,5
103,48,10.5,5
100,44,11.5,5
90,40,20.0,5
101,46,11.0,5
86,38,15.0,5
91,40,13.5,5
52,23,14.5,5
95,42,9.0,4
80,36,24.5,5
98,46,16.5,5
94,42,15.0,4
102,47,4.0,5
105,48,18.0,5
86,39,18.5,4
100,45,10.0,4
98,44,17.5,4
106,48,4.5,4
94,42,3.5,5
113,52,18.5,5
102,47,5.5,5
102,48,25,5
90,43,14.5,4
106,50,18.5,5
102,48,4.0,5
82,38,8.0,5
90,38,21.5,5
56,23,23.0,5
100,44,18.5,4
102,46,6.5,5
84,38,25.5,5
102,45,10.0,5
90,40,17.5,5
90,41,12.5,5
104,46,13.0,5
106,50,14.5,5
90,44,8.0,5
96,42,5.0,5
94,42,21.0,5
105,48,2.5,5
106,50,26.0,5
108,48,13.0,5
96,44,15.5,1
68,30,20.5,5
94,43,13.0,5
94,40,13.5,5
92,40,10.0,5
96,44,14.5,5
76,34,11.5,5
102,44,17.0,5
94,44,4.5,5
79,36,19.5,5
88,40,16.5,5
58,25,12.0,5
103,48,21.5,4
75,34,7.0,5
99,44,18.0,5
104,47,5.5,4
104,48,11.5,5
100,47,12.0,4
91,40,18.5,4
72,32,11.0,5
93,43,19.5,4
82,38,21.5,5
78,34,6.5,5
100,45,18.0,5
91,42,5.5,5
100,44,22.0,4
96,44,9.0,5
98,43,4.0,4
80,37,13.0,4
72,32,18.5,5
100,46,26.0,5
114,53,18.0,5
98,45,12.5,5
100,46,8.5,5
74,34,13.5,5
92,40,9.5,5
98,42,16.0,5
89,41,8.5,5
110,51,18.5,5
78,36,11.0,5
70,31,25.0,5
99,46,13.0,5
92,42,16.0,4
78,36,8.5,5
104,47,12.0,5
93,40,15.0,3
88,42,7.5,5
112,50,12,4
93,42,7.5,3
98,46,16.5,5
86,40,9.0,4
100,46,12.5,5
68,30,15.5,5
77,36,3.5,5
96,44,16.5,5
98,44,6.0,5
93,41,20.0,4
94,40,13.5,4
110,51,14.5,5
105,46,19.0,5
100,46,7.5,5
104,48,10.5,4
100,47,14.0,4
106,50,13.5,5
105,48,9.0,5
81,36,8.5,3
73,34,12.5,5
101,45,4.5,5
99,44,6.5,5
67,28,27.0,5
84,38,17.5,5
77,36,4.0,5
96,43,12.0,4
113,53,7.5,4
94,42,19.0,5
94,42,17.0,5
80,36,14.5,5
101,48,14.0,5
96,44,19.5,5
96,44,23.0,5
55,23,25.5,4
98,45,12.5,5
94,42,19.0,4
80,35,7.5,5
74,32,24.5,5
90,39,14.5,5
88,38,13.0,5
102,48,14.0,5
95,42,10.0,5
98,45,21.5,4
100,46,9.5,4
96,42,11.0,5
73,33,7.0,4
103,48,14.5,5
86,38,5.0,5
96,44,10.5,5
95,41,21.0,5
94,41,6.5,5
91,39,14.5,5
92,42,23.0,4
74,33,22.0,5
98,43,15.0,5
98,44,10.0,5
94,43,10.5,5
62,28,21.5,5
78,36,11.0,5
88,40,19.0,5
87,40,14.0,5
104,48,14.5,5
94,42,15.0,5
97,43,21.5,5
99,44,4.0,5
106,49,21.5,5
104,49,7.5,5
106,49,19.0,5
84,38,23.5,5
94,42,18.0,5
98,44,8.5,5
98,44,13.5,5
83,40,15.0,5
78,34,9.0,5
92,42,17.5,5
101,45,16.0,4
94,43,12.0,5
75,30,25.0,5
107,50,8.5,5
64,28,19.0,5
90,40,19.5,5
98,45,8.5,4
60,29,15.0,5
101,46,14.0,5
64,29,20.5,5
106,48,7.5,5
80,36,23.0,4
103,48,10.0,5
98,44,23.5,5
106,47,11.5,5
80,35,6.5,5
94,44,13.5,5
101,46,17.0,4
77,37,9.0,5
86,39,20.0,5
99,44,23.5,4
95,44,18.0,2
92,42,22.5,5
95,42,15.0,5
92,40,15.5,5
101,48,6.0,5
78,35,10.0,5
100,46,4.5,3
102,46,4.5,5
104,46,8.0,5
98,44,9.5,5
93,41,9.5,5
100,46,9.5,5
104,47,24.0,1
102,45,10.0,3
104,46,16.0,5
94,42,16.5,5
83,36,21,3
107,50,5.5,5
82,37,10.0,5
98,44,15.5,5
110,50,11.5,3
102,46,12.5,4
78,36,20.5,5
108,50,18.5,5
103,46,5.0,4
112,52,17.5,5
98,44,12.0,4
90,42,18.0,5
78,34,11.5,5
81,38,15.0,4
57,26,19.5,5
96,42,14.5,4
110,52,15.0,5
86,39,20.5,4
106,48,2.5,5
106,48,4.5,5
96,44,19.0,4
120,55,9.5,4
98,45,5.5,5
100,46,12.0,5
101,48,13.5,5
75,34,17.0,4
90,41,23.5,5
96,44,18.0,4
72,34,17.5,5
89,40,8.5,5
88,42,6.5,5
104,48,6.5,5
89,41,16.0,3
90,40,22.0,5
90,40,14.0,5
98,46,21.0,5
95,43,17.0,5
77,35,12.5,4
116,54,10.0,3
78,34,15.0,5
90,42,16.5,5
91,40,10.0,5
74,32,12.0,5
77,36,4.5,5
98,44,10.5,4
70,30,20.5,5
86,38,25.5,5
85,36,23.5,5
73,32,9.0,5
86,35,15.0,5
78,36,8.0,5
96,44,5.0,5
108,50,11.5,4
105,48,3.0,5
90,39,14.0,5
83,38,12.0,4
91,41,9.0,5
92,42,21.0,5
82,36,9.5,5
88,41,27.5,5
90,40,13.0,5
103,46,11.0,4
78,36,24.5,4
102,47,9.5,5
90,41,13.5,5
98,43,12.5,5
98,42,5.5,5
92,42,3.0,5
88,38,17.5,5
101,46,22.0,5
97,42,12.0,5
92,42,17.5,5
108,49,9.0,5
93,40,8.5,5
104,46,5.5,5
108,50,14.5,5
90,39,4.5,4
88,40,15.0,5
78,35,8.5,5
74,34,17.0,5
108,49,4.0,3
102,44,25.0,1
90,41,16.0,5
92,42,4.5,3
102,46,10.5,5
100,47,22.0,5
104,46,8.5,5
84,37,18.5,5
99,45,12.0,5
102,46,15.0,4
95,42,19.5,5
106,49,7.5,3
72,33,5.5,5
104,44,22.5,5
76,33,16.0,4
94,41,16.5,5
96,44,11.5,4
72,31,17.5,5
103,48,17.5,5
104,47,8.0,5
96,42,12.0,5
73,32,5.5,5
96,45,15.5,5
107,50,5.5,4
93,41,15.5,5
100,44,8.0,4
103,47,13.5,5
98,44,15.0,5
102,48,17.0,5
80,34,16.0,5
110,52,8.0,5
102,47,9.5,5
107,50,10.0,5
72,29,27.5,5
95,42,16.0,5
74,34,19.5,4
78,36,9.0,3
90,40,18.0,5
79,34,24.0,5
98,44,4.0,5
86,37,19.0,5
96,41,10.5,5
102,46,5.5,5
81,37,8.5,5
103,48,14.5,3
76,34,15.5,5
90,41,21.5,5
104,46,16.0,4
74,33,18.0,5
80,36,12.0,5
91,41,23.0,5
102,47,12.0,5
103,46,10.0,5
70,32,18.5,5
100,46,27.0,3
98,44,14.0,5
91,40,20.0,4
100,46,12.0,5
100,44,10.0,3
90,40,21.5,5
95,44,15.5,5
104,49,8.0,2
98,45,17.5,5
74,34,29.0,5
99,46,11.0,5
68,30,15.5,5
76,32,13.0,5
98,42,6,5
96,41,12.5,5
100,44,10.0,5
100,48,13.5,5
66,29,22.5,5
100,46,16.5,5
96,46,11.5,4
97,44,12.5,3
86,39,16.5,5
94,42,16.0,5
98,44,8.5,5
80,35,20.0,5
107,49,16.5,5
104,48,8.5,4
82,36,12.0,5
102,46,12.5,4
102,48,26.0,5
80,34,18.5,5
104,47,15.5,4
92,42,17.5,5
60,26,19.0,5
112,52,23.5,5
85,37,18.5,5
96,44,18.5,4
80,38,9.0,5
96,42,9.5,5
88,38,17.5,5
64,29,17.0,5
88,40,5.5,5
96,44,7.5,4
95,42,8.0,5
84,38,22.0,4
104,48,9.0,4
89,40,12.0,5
99,44,14.0,5
78,36,19.0,5
86,38,19.5,5
68,29,23.0,5
91,40,19.5,4
82,37,10.0,5
87,40,13.0,3
108,49,9.5,5
95,42,9.0,5
87,38,19.5,5
98,44,9.0,5
104,46,7.0,5
84,36,9.0,5
94,42,16.5,5
109,51,9.5,5
98,46,24.5,5
85,40,23.5,5
97,44,8.0,5
94,42,19.0,5
82,38,4.0,4
90,39,14.5,5
100,46,9.5,4
99,45,10.0,4
104,49,8.0,4
113,52,7.0,4
98,44,5.0,4
98,44,24.5,5
74,36,3.0,3
86,40,25.0,5
100,47,10.5,4
92,41,17.0,5
94,43,13.5,4
100,46,10.5,5
90,40,24.0,5
92,41,9.5,5
100,46,5.5,5
64,29,22.5,5
100,46,13.0,5
92,42,12.5,5
92,42,15.5,5
116,56,8.5,5
74,35,17.0,5
88,37,17.5,5
106,50,15.5,5
102,44,5.5,5
94,41,18.5,5
106,48,5.5,5
100,48,12.5,4
76,35,18.0,5
102,48,3.5,5
80,37,14.0,5
98,44,15.0,5
107,49,10.0,5
88,40,14.5,5
92,40,22.5,5
100,46,17.5,5
86,38,9.0,5
107,50,12.0,5
100,46,8.0,5
84,38,26.0,5
98,44,11.0,5
118,54,8.0,4
102,46,11.0,4
101,46,23.0,5
97,42,7.5,5
93,41,25.0,5
101,46,8.5,5
89,40,11.0,5
70,32,7.5,5
102,46,11.5,3
100,44,9.5,5
98,44,13.5,5
112,51,7.5,5
101,46,8.5,4
86,38,16.5,5
108,50,8.0,5
99,46,11.5,5
92,42,19.0,5
94,42,10.0,5
113,51,2,3
104,49,13.5,4
93,41,7.0,4
104,48,17.5,4
88,38,13.0,5
64,28,18.0,5
99,45,4,4
94,42,15.5,5
116,53,3,4
84,40,22.0,2
106,48,18.0,5
80,35,9.5,5
88,39,10.5,3
90,40,26.5,5
90,39,11.0,5
99,46,6.0,4
94,42,13.0,5
98,46,10.5,5
98,42,15.0,5
98,44,17.0,5
100,46,4.5,5
94,42,17.0,5
68,30,19.0,4
108,50,15.5,3
100,47,18.0,5
96,44,11.0,3
113,52,14.5,4
90,40,12.5,5
94,41,6.0,5
91,40,9.0,5
88,40,15.0,5
94,41,16.0,5
87,39,21.5,5
106,47,7.0,5
106,48,19.5,5
94,40,20.0,5
90,42,19.0,5
89,40,8.5,5
96,42,16.0,5
92,40,14.5,5
78,35,9.0,5
94,42,13.0,4
61,26,17.5,5
101,46,20.5,2
106,50,12.5,5
98,44,7.0,4
94,42,17.5,5
102,46,10.5,5
98,43,15.5,5
92,42,16.5,5
108,50,10.0,5
107,48,15.5,4
112,53,11.0,5
89,40,7.0,4
100,47,6.5,5
104,48,3.5,5
92,42,14.5,5
94,42,17.5,4
105,48,11.5,5
101,46,6.5,5
85,38,23.5,3
89,42,11.0,5
92,42,20.0,5
83,39,9.5,5
94,44,16.0,2
90,39,8.0,4
98,44,1.5,5
102,46,10.5,5
90,42,27.5,5
92,42,10.0,5
100,45,5.0,5
77,35,24.0,5
90,40,20.0,5
100,46,5.0,3
76,35,10.5,5
78,34,16.5,5
84,38,24.5,4
79,36,16.0,5
93,40,7.0,5
100,45,13.5,5
99,46,11.5,4
90,40,19.0,5
88,38,20.5,5
90,38,16.0,3
97,42,12.0,4
92,42,19.5,5
97,44,12.5,5
78,35,16.5,5
104,48,15.5,5
68,29,23.0,5
101,46,14.5,5
102,46,11.0,5
120,55,9.5,4
104,49,13.0,5
101,46,16.0,5
79,36,9.0,5
104,48,10.5,5
92,40,7.5,5
93,42,19.5,5
98,44,19.5,5
94,42,15.0,5
86,40,4.5,5
86,42,11.5,5
112,51,1.5,5
98,44,23.0,4
98,44,14.5,3
71,34,12.5,4
97,46,18.5,5
98,44,10.5,5
71,31,15.0,5
86,40,16.0,4
88,39,9.0,5
102,46,13.5,4
97,43,7.0,5
101,47,8.5,5
82,34,12.0,4
96,46,2.0,5
76,34,21.0,5
106,47,13.0,5
93,42,11.0,5
104,48,15.5,5
104,46,19.0,5
68,30,22.0,4
76,32,9.5,5
52,22,27.0,5
96,44,24.0,5
90,40,20.5,4
82,38,10.5,5
94,44,24.5,5
56,26,6.0,4
96,44,14.0,5
96,44,14.0,5
83,37,15.5,5
70,31,26.0,5
98,44,13.0,5
88,40,20.0,5
68,30,18.5,5
98,44,13.0,5
103,47,4.5,5
93,42,10.5,5
103,46,12.5,2
104,47,19.5,5
101,46,15.0,1
96,42,8.0,5
104,48,18.0,5
106,50,14.5,4
98,44,14.0,5
110,50,13.5,4
96,45,27.5,5
94,42,17.0,5
96,46,16.5,5
110,51,18.5,4
104,48,23.5,3
116,54,5.5,5
106,49,11.0,5
104,48,13.5,5
84,38,12.0,4
96,44,7.5,4
90,38,23.0,5
95,42,6.5,4
104,48,5.5,4
98,44,7.5,4
78,34,15.5,5
82,36,12.5,5
95,42,14.5,4
98,44,17.0,5
105,46,9.0,5
92,40,12.0,5
77,34,16.0,5
93,42,18.5,5
74,33,16.5,5
115,52,3.5,4
96,40,19.0,5
104,47,18.0,5
92,42,16.0,5
104,48,14.0,5
78,36,12.0,4
100,44,19.0,5
112,52,15.0,3
102,46,23.0,4
62,27,25.5,5
97,43,11.5,5
102,46,22.0,5
102,46,11.5,5
90,39,16.5,5
108,49,10.5,4
97,44,7.5,5
82,37,13.5,5
88,39,15.0,5
102,47,21.5,5
76,36,8.0,5
63,27,19.0,5
102,46,12.0,4
96,42,5.5,5
92,42,9.0,5
98,44,4.5,4
102,47,7.0,5
76,34,3.0,5
73,32,27.5,5
103,46,6.5,5
103,48,9.0,5
100,46,2.5,3
78,33,24.0,5
81,37,9.5,5
96,43,13.5,5
82,38,14.0,5
102,45,19.0,5
96,43,7.0,4
95,44,21.0,5
111,52,11.5,4
94,42,7.5,5
86,38,11.0,4
94,41,7,4
93,42,27.0,5
105,46,11.5,5
94,42,14.5,5
